"Company Name","Website","Company Type","City","State","Contact First Name","Contact Last Name","Job Title","Email","Email Type","Verification Status","Verification Method","Source URL","Date Verified"
"Hospitality Management Corporation","https://hospitalitymgt.com","Hospitality Developer/Manager","Lewisville","Texas","","","General Contact","info@hospitalitymgt.com","Role-Based","Verified - Published Public Web Source","Official company website","https://www.hotelmdr.com/contact-us","2026-09-11"
"Midas Hospitality","https://midashospitality.com","Hospitality Developer","Texas","Texas","","","General Contact","info@midashospitality.com","Role-Based","Verified - Published Public Web Source","Official company website","https://midashospitality.com/contact","2026-09-11"
"Rampart Multifamily","https://ramparttx.com","Multifamily Developer","Texas","Texas","","","General Contact","info@ramparttx.com","Role-Based","Verified - Published Public Web Source","Official company website","https://ramparttx.com/","2026-09-11"
"Texas Multifamily Team","https://texasmt.com","Multifamily Advisory","Lubbock","Texas","","","General Contact","contact@texasmt.com","Role-Based","Verified - Published Public Web Source","Official company website","https://www.texasmt.com/contact","2026-09-11"
"The Multifamily Group","https://multifamilygrp.com","Multifamily Advisory","Dallas","Texas","","","General Contact","tmg@multifamilygrp.com","Role-Based","Verified - Published Public Web Source","Official company website","https://multifamilygrp.com/contact","2026-09-11"
"Texas Industrial Choice","https://texasindustrialchoice.com","Industrial Contractor","Lubbock","Texas","","","General Contact","info@texasindustrialchoice.com","Role-Based","Verified - Published Public Web Source","Official company website","https://texasindustrialchoice.com/contact","2026-09-11"
"Corvus Construction","https://corvusconstruction.com","Tenant Improvement Contractor","Houston","Texas","","","General Contact","info@corvusconstruction.com","Role-Based","Verified - Published Public Web Source","Official company website","https://corvusconstruction.com/tenant-improvement","2026-09-11"
"Texas Commercial Construction","https://txcommercialconstruction.com","General Contractor","Texas","Texas","","","General Contact","info@txcommercialconstruction.com","Role-Based","Verified - Published Public Web Source","Official company website","https://txcommercialconstruction.com/contact","2026-09-11"
"TX Construct","https://txconstruct.com","General Contractor","Texas","Texas","","","General Contact","info@txconstruct.com","Role-Based","Verified - Published Public Web Source","Official company website","https://txconstruct.com/contact","2026-09-11"
"TXI Engineering & Construction","https://txi-ec.com","Engineering / Construction","Texas","Texas","","","General Contact","info@txi-ec.com","Role-Based","Verified - Published Public Web Source","Official company website","https://txi-ec.com/contact","2026-09-11"
"Teal Construction","https://tealcon.com","General Contractor","Texas","Texas","","","General Contact","estimating@tealcon.com","Role-Based","Verified - Published Public Web Source","Official company website","https://tealcon.com/contact","2026-09-11"
"Texas Star Construction","https://texstarconstruction.com","General Contractor","Texas","Texas","","","General Contact","info@texstarconstruction.com","Role-Based","Verified - Published Public Web Source","Official company website","https://texstarconstruction.com/contact","2026-09-11"
"Ticon Texas","https://ticontexas.com","General Contractor","Texas","Texas","","","General Contact","info@ticontexas.com","Role-Based","Verified - Published Public Web Source","Official company website","https://ticontexas.com/contact","2026-09-11"
"Marwood Construction","https://marwoodconstruction.com","General Contractor","Texas","Texas","","","General Contact","info@marwoodconstruction.com","Role-Based","Verified - Published Public Web Source","Official company website","https://marwoodconstruction.com/contact","2026-09-11"
"Citadel Texas","https://citadel-tx.com","General Contractor","Texas","Texas","","","General Contact","info@citadel-tx.com","Role-Based","Verified - Published Public Web Source","Official company website","https://citadel-tx.com/contact","2026-09-11"
"Build Oakman","https://buildoakman.com","Custom Homebuilder","Texas","Texas","","","General Contact","info@buildoakman.com","Role-Based","Verified - Published Public Web Source","Official company website","https://buildoakman.com/contact","2026-09-11"
"True Texas Builders","https://truetexasbuilders.com","Custom Homebuilder","Texas","Texas","","","General Contact","info@truetexasbuilders.com","Role-Based","Verified - Published Public Web Source","Official company website","https://truetexasbuilders.com/contact","2026-09-11"
"FBG Builder","https://fbgbuilder.com","Custom Homebuilder","Texas","Texas","","","General Contact","mail@fbgbuilder.com","Role-Based","Verified - Published Public Web Source","Official company website","https://fbgbuilder.com/contact","2026-09-11"
"Design Build Texas","https://dbtxbuilders.com","Design-Build Firm","Irving","Texas","","","General Contact","info@dbtxbuilders.com","Role-Based","Verified - Published Public Web Source","Official company website","https://www.dbtxbuilders.com/contact","2026-09-11"
"Design Build Texas","https://dbtxbuilders.com","Design-Build Firm","Irving","Texas","","","General Contact","moe@dbtxbuilders.com","Role-Based","Verified - Published Public Web Source","Official company website","https://www.dbtxbuilders.com/contact","2026-09-11"
"Texas Development Group","https://texasdevelopmentgroup.com","Developer","Texas","Texas","","","General Contact","steve@texasdevelopmentgroup.com","Role-Based","Verified - Published Public Web Source","Official company website","https://texasdevelopmentgroup.com/contact","2026-09-11"
"HS Development Group","https://hsdevgroup.com","Developer","Texas","Texas","","","General Contact","shelm@hsdevgroup.com","Role-Based","Verified - Published Public Web Source","Official company website","https://hsdevgroup.com/contact","2026-09-11"
"RWS Architects","https://rwsarchitectsinc.com","Architecture Firm","Texas","Texas","","","General Contact","info@rwsarchitectsinc.com","Role-Based","Verified - Published Public Web Source","Official company website","https://rwsarchitectsinc.com/contact","2026-09-11"
"AEC Profiles","https://aecprofiles.com","Construction Interiors","Texas","Texas","","","General Contact","info@aecprofiles.com","Role-Based","Verified - Published Public Web Source","Official company website","https://aecprofiles.com/contact","2026-09-11"
"Take Two Construction","https://takestwoconstruction.com","General Contractor","Texas","Texas","","","General Contact","info@takestwoconstruction.com","Role-Based","Verified - Published Public Web Source","Official company website","https://takestwoconstruction.com/contact","2026-09-11"
"Texas Construction Company","https://tcco.com","General Contractor","Texas","Texas","","","General Contact","er@tcco.com","Role-Based","Verified - Published Public Web Source","Official company website","https://tcco.com/contact","2026-09-11"
"Texas Construction Company","https://tcco.com","General Contractor","Texas","Texas","","","General Contact","turner@tcco.com","Role-Based","Verified - Published Public Web Source","Official company website","https://tcco.com/contact","2026-09-11"
"Amtek USA Houston","https://amtekusa.com","Industrial Contractor","Houston","Texas","","","General Contact","namtek.houston@amtekusa.com","Role-Based","Verified - Published Public Web Source","Official company website","https://amtekusa.com/contact","2026-09-11"
"Base-4","https://base-4.com","Architecture / Engineering","Texas","Texas","","","General Contact","blairh@base-4.com","Role-Based","Verified - Published Public Web Source","Official company website","https://base-4.com/contact","2026-09-11"
"ACM Engineering","https://acmecpi.com","Engineering Firm","Texas","Texas","","","General Contact","bday@acmecpi.com","Role-Based","Verified - Published Public Web Source","Official company website","https://acmecpi.com/contact","2026-09-11"
"ACEE Construction","https://aceeconstruction.com","General Contractor","Texas","Texas","","","General Contact","alyx@aceeconstruction.com","Role-Based","Verified - Published Public Web Source","Official company website","https://aceeconstruction.com/contact","2026-09-11"
"ACO Inc.","https://aco-inc.com","Engineering / Construction","Texas","Texas","","","General Contact","artcervantes@aco-inc.com","Role-Based","Verified - Published Public Web Source","Official company website","https://aco-inc.com/contact","2026-09-11"
"National Works","https://nationalworks.com","Construction","Texas","Texas","","","General Contact","jlande@nationalworks.com","Role-Based","Verified - Published Public Web Source","Official company website","https://nationalworks.com/contact","2026-09-11"
"Texas Water & Land","https://texaswl.com","Engineering / Construction","Texas","Texas","","","General Contact","ldean@texaswl.com","Role-Based","Verified - Published Public Web Source","Official company website","https://texaswl.com/contact","2026-09-11"
"Texas Cordia","https://texascordia.com","Developer / Construction","Texas","Texas","","","General Contact","yara@texascordia.com","Role-Based","Verified - Published Public Web Source","Official company website","https://texascordia.com/contact","2026-09-11"
"Industrial Engineering Services","https://ersinc.com","Engineering Firm","Texas","Texas","","","General Contact","ersinc@earthlink.net","Role-Based","Verified - Published Public Web Source","Official company website","https://www.ersinc.com/contact","2026-09-11"
"Texas Boring","https://texasboring.com","Industrial Contractor","Texas","Texas","","","General Contact","texasboring@yahoo.com","Role-Based","Verified - Published Public Web Source","Official company website","https://texasboring.com/contact","2026-09-11"
"Texas Road Construction","https://texasroadconstruction.com","General Contractor","Texas","Texas","","","General Contact","texasroadconstruction@gmail.com","Role-Based","Verified - Published Public Web Source","Official company website","https://texasroadconstruction.com/contact","2026-09-11"
"Texpan Construction","https://texpancon.com","General Contractor","Texas","Texas","","","General Contact","texpancon@gmail.com","Role-Based","Verified - Published Public Web Source","Official company website","https://texpancon.com/contact","2026-09-11"
"Texas Custom Homes","https://texascustomhomes.com","Custom Homebuilder","Texas","Texas","","","General Contact","nbrandon@customhomesoftexas.com","Role-Based","Verified - Published Public Web Source","Official company website","https://customhomesoftexas.com/contact","2026-09-11"
"Texas Custom Homes","https://texascustomhomes.us","Custom Homebuilder","Texas","Texas","","","General Contact","info@texascustomhomes.us","Role-Based","Verified - Published Public Web Source","Official company website","https://texascustomhomes.us/contact","2026-09-11"
"Texas Custom Homes","https://texascustomhomes.com","Custom Homebuilder","Texas","Texas","","","General Contact","texascustomhomes@gmail.com","Role-Based","Verified - Published Public Web Source","Official company website","https://texascustomhomes.com/contact","2026-09-11"
"Texas Building Designs","https://texasbuildingdesigns.com","Architecture / Design-Build","Texas","Texas","","","General Contact","texasbuildingdesigns@gmail.com","Role-Based","Verified - Published Public Web Source","Official company website","https://texasbuildingdesigns.com/contact","2026-09-11"
"Texas Construction & Remodeling","https://txbuiltconstruction.com","General Contractor","Texas","Texas","","","General Contact","projects@txbuiltconstruction.com","Role-Based","Verified - Published Public Web Source","Official company website","https://txbuiltconstruction.com/contact","2026-09-11"
"DHRP","https://dhrp.us","Developer","Texas","Texas","","","General Contact","tiffany@dhrp.us","Role-Based","Verified - Published Public Web Source","Official company website","https://dhrp.us/contact","2026-09-11"
"SLI Group","https://sligroup.com","Developer","Texas","Texas","","","General Contact","info@sligroup.com","Role-Based","Verified - Published Public Web Source","Official company website","https://sligroup.com/contact","2026-09-11"
"RKS Group Real Estate","https://rksgrouprealestate.com","Developer","Texas","Texas","","","General Contact","info@rksgrouprealestate.com","Role-Based","Verified - Published Public Web Source","Official company website","https://rksgrouprealestate.com/contact","2026-09-11"
"TX Reco","https://txreco.com","Developer / Construction","Texas","Texas","","","General Contact","info@txreco.com","Role-Based","Verified - Published Public Web Source","Official company website","https://txreco.com/contact","2026-09-11"
"Texas Builders","https://texas.builders","Custom Homebuilder","Texas","Texas","","","General Contact","info@texas.builders","Role-Based","Verified - Published Public Web Source","Official company website","https://texas.builders/contact","2026-09-11"
"H.G. Construction","https://humphries-const.com","General Contractor","Texas","Texas","","","General Contact","info@humphries-const.com","Role-Based","Verified - Published Public Web Source","Official company website","https://humphries-const.com/contact","2026-09-11"
"Ticon Texas","https://ticontexas.com","General Contractor","Texas","Texas","","","General Contact","njmichalek@ticontexas.com","Role-Based","Verified - Published Public Web Source","Official company website","https://ticontexas.com/contact","2026-09-11"
"Texas Design and Build","https://texasdesignandbuild.com","Design-Build Firm","San Antonio","Texas","","","General Contact","info@texasdesignandbuild.com","Role-Based","Verified - Published Public Web Source","Official company website","https://texasdesignandbuild.com/contact","2026-09-11"
"Guido Construction","https://guidoco.com","General Contractor","San Antonio","Texas","","","General Contact","construction@guidoco.com","Role-Based","Verified - Published Public Web Source","Official company website","https://www.guidoconstruction.com/commercial-projects","2026-09-11"
"Nunnelly General Contractor","https://nunnelly.com","General Contractor","San Antonio","Texas","","","General Contact","info@nunnelly.com","Role-Based","Verified - Published Public Web Source","Official company website","https://www.nunnelly.com/contact","2026-09-11"
"Yantis Company","https://yantiscompany.com","General Contractor","San Antonio","Texas","","","General Contact","info@yantiscompany.com","Role-Based","Verified - Published Public Web Source","Official company website","https://www.yantiscompany.com/contact-us/","2026-09-11"
"O'Haver Contractors","https://ohcltd.net","General Contractor","San Antonio","Texas","","","General Contact","info@ohcltd.net","Role-Based","Verified - Published Public Web Source","Official company website","https://www.ohcltd.net/contact/","2026-09-11"
"E Contractors","https://econtractors.com","General Contractor","Houston","Texas","","","General Contact","info@econtractors.com","Role-Based","Verified - Published Public Web Source","Official company website","https://econtractors.com/contact-general-contractor-houston-tx/","2026-09-11"
"S. Watts Group","https://swattsgroup.com","General Contractor","Austin","Texas","","","General Contact","info@swattsgroup.com","Role-Based","Verified - Published Public Web Source","Official company website","https://swattsgroup.com/contact","2026-09-11"
"Ridgemont Commercial Construction","https://ridgemont.com","General Contractor","Irving","Texas","","","General Contact","info@ridgemont.com","Role-Based","Verified - Published Public Web Source","Official company website","https://ridgemont.com/about/","2026-09-11"
"Chasco Constructors","https://chasco.com","General Contractor","Round Rock","Texas","","","General Contact","mail@chasco.com","Role-Based","Verified - Published Public Web Source","Official company website","https://www.chasco.com/contact/","2026-09-11"
"McKinney York Architects","https://mckinneyyork.com","Architecture Firm","Austin","Texas","","","General Contact","marketing@mckinneyyork.com","Role-Based","Verified - Published Public Web Source","Official company website","https://www.mckinneyyork.com/contact","2026-09-11"
"Alamo Architects","https://alamoarchitects.com","Architecture Firm","San Antonio","Texas","","","General Contact","info@alamoarchitects.com","Role-Based","Verified - Published Public Web Source","Official company website","https://alamoarchitects.com/contact/","2026-09-11"
"Powers Brown Architecture","https://powersbrown.com","Architecture Firm","Houston","Texas","","","General Contact","brown@powersbrown.com","Role-Based","Verified - Published Public Web Source","Official company website","https://powersbrown.com/about","2026-09-11"
"SHM Architects","https://shmarchitects.com","Architecture Firm","Dallas","Texas","","","General Contact","info@shmarchitects.com","Role-Based","Verified - Published Public Web Source","Official company website","https://shmarchitects.com/contact/","2026-09-11"
