day,lane,company,contact_name,title,email,website,city,state,segment,project_signal,source_url
2,public,"BPF Design, Inc.",Brian P. Fredley,President & CEO,info@BPFdesign.com,bpfdesign.com,Daytona Beach,FL,architect,"info@BPFdesign.com — Daytona Beach architecture firm (commercial, residential, mixed-use, medical); team: Brian P. Fredley, President & CEO (source: https://www.excellentcontractor.com/50628/bpf-design)",https://www.excellentcontractor.com/50628/bpf-design
4,public,BRW Architects,,,hello@brwarch.com,brwarch.com,Dallas,TX,architect,"hello@brwarch.com — Dallas HQ architecture firm; multifamily, education, civic portfolio (source: https://www.brwarch.com/terms-of-use/)",https://www.brwarch.com/terms-of-use/
5,public,BTI Partners,,,info@btipartners.com,btipartners.com,Fort Lauderdale,FL,developer,info@btipartners.com published on firm's own website; Fort Lauderdale developer,https://btipartners.com/privacy-policy/page/5/
6,public,Ball Ventures,,,info@ballventures.com,ballventures.com,Idaho Falls,ID,developer,"info@ballventures.com — Idaho Falls real estate developer (retail, multifamily, commercial investments); active projects incl. Killeen Marketplace (source: https://ballventures.com/contact-us/)",https://ballventures.com/contact-us/
1,public,Bassenian Lagoni,,,info@bassenianlagoni.com,bassenianlagoni.com,Irvine,CA,architect,info@bassenianlagoni.com listed on official company page: https://www.bassenianlagoni.com/contact,https://www.bassenianlagoni.com/contact
2,public,Bassetti Architects,,,studiobassetti@bassettiarch.com,bassettiarch.com,Seattle,WA,architect,"studiobassetti@bassettiarch.com — Legacy PNW firm; civic, education, preservation projects (source: https://www.bassettiarch.com/studiobassetti)",https://www.bassettiarch.com/studiobassetti
4,public,Baylis Architects,,,admin@baylisarchitects.com,baylisarchitects.com,Bellevue,WA,architect,Bellevue firm (50+ years); General Information contact admin@baylisarchitects.com on own contact page,https://BaylisArchitects.com/contacts.html
5,public,Baysinger Hensley Design Group,,,BHDG@BHDGarchitects.com,bhdgarchitects.com,Nashville,TN,architect,BHDG@BHDGarchitects.com — General BHDG@ mailbox published on company contact page; Nashville branch at 3322 West End Ave (source: https://bhdgarchitects.com/contact-bhdg-architecture-interiors/),https://bhdgarchitects.com/contact-bhdg-architecture-interiors/
6,public,Beck Building Company,,,Info@beckbuilds.com,beckbuilds.com,Denver,CO,luxury_builder,"Info@beckbuilds.com — 50+ years luxury custom home building in Vail, Aspen, Denver and Boulder; 2022 Mountain Living Top Mountain Builder; general email published on contact page (source: https://beckbuilds.com/contact/)",https://beckbuilds.com/contact/
2,public,Becker Studios,,,frontdesk@beckercon.com,beckerstudiosinc.com,Santa Barbara,CA,luxury_builder,"frontdesk@beckercon.com — Santa Barbara luxury design-build; Montecito estates, commercial; email published in site footer (source: http://beckerstudiosinc.com/)",http://beckerstudiosinc.com/
3,public,Belle Firma,,,info@bellefirma.com,bellefirma.com,Dallas,TX,architect,info@bellefirma.com — Dallas landscape architecture firm serving commercial real estate professionals (source: https://www.bellefirma.com/contact/),https://www.bellefirma.com/contact/
5,public,Bellwood NY Inc,,,info@bellwoodcm.com,bellwoodcm.com,Brooklyn,NY,gc,"info@bellwoodcm.com — Commercial design-build GC; hospitality/restaurants, senior living, retail across NYC & North Jersey (source: https://www.bellwoodcm.com/general-contractor-queens-ny)",https://www.bellwoodcm.com/general-contractor-queens-ny
6,public,Benchmark Builders,,,info@benchmarkbuilders.com,benchmarkbuilders.com,Wilmington,DE,gc,info@benchmarkbuilders.com — General contact email published in company-hosted privacy policy (source: https://www.benchmarkbuilders.com/privacy-policy),https://www.benchmarkbuilders.com/privacy-policy
1,public,Benchmark General Contractors,,,jmanos@benchmark-gc.com,benchmark-gc.com,Fort Myers,FL,gc,jmanos@benchmark-gc.com — General contact email published on company contact page (source: https://www.benchmark-gc.com/contact),https://www.benchmark-gc.com/contact
2,public,Bennett Partners,,,info@bennett.partners,bennett.partners,Fort Worth,TX,architect,info@bennett.partners — Fort Worth architecture firm; general contact email visibly published on company contact page (source: https://bennett.partners/contact/),https://bennett.partners/contact/
3,public,Benson Homes,,,info@bensonhomes.com,bensonhomes.com,Virginia Beach,VA,luxury_builder,Own site publishes info@bensonhomes.com; custom builder/remodeler in Virginia Beach,https://www.bensonhomes.com/blogbensonhomes/from-traditional-ranch-to-coastal-cottage-in-bay-colony-virginia-beach
4,public,Berger Partnership,,,info@bergerpartnership.com,bergerpartnership.com,Seattle,WA,architect,Landscape architecture and urban design firm; info@bergerpartnership.com listed on company Contact page,https://bergerpartnership.com/contact/
5,public,Bespoke Builder,,,info@bespokebuilder.com,bespokebuilder.com,McLean,VA,luxury_builder,Company site publishes info@bespokebuilder.com; luxury home builder in McLean VA,https://www.bespokebuilder.com/terms-of-service
6,public,"Better Enterprises, Inc.",,,info@BetterEnterprisesInc.com,betterenterprisesinc.com,Fresno,CA,gc,"info@BetterEnterprisesInc.com — Public-works/education GC; City of Fresno awarded it the $205,853 Lafayette Park Restroom Renovation (June 2025) (source: https://betterenterprisesinc.com/)",https://betterenterprisesinc.com/
1,public,Beyer Blinder Belle,,,info@bbbarch.com,beyerblinderbelle.com,New York,NY,architect,"Lists info@bbbarch.com as monitored for legal, privacy, and general inquiries",https://www.beyerblinderbelle.com/privacy-policy/
5,public,Bisbano,,,info@bisbano.com,bisbano.com,Providence,RI,architect,Lists info@bisbano.com on homepage,https://www.bisbano.com/
6,public,Black Squirrel Construction,,,info@blacksquirrelconstruction.com,blacksquirrelconstruction.com,New York,NY,gc,info@blacksquirrelconstruction.com listed on official company page: https://blacksquirrelconstruction.com/contact-us,https://blacksquirrelconstruction.com/contact-us
1,public,BlackPine Communities,,,contact@blackpinecommunities.com,blackpinecommunities.com,Sacramento,CA,luxury_builder,contact@blackpinecommunities.com listed on official company page: http://www.blackpinecommunities.com/contact,http://www.blackpinecommunities.com/contact
2,public,Blalock & Partners,,,admin@blalockandpartners.com,blalockandpartners.com,Salt Lake City,UT,architect,admin@blalockandpartners.com — Business/career email published on own studio page; 2025 AIA Utah Honor Award (Spanish Fork Community Network) (source: https://www.blalockandpartners.com/studio),https://www.blalockandpartners.com/studio
3,public,Block & Company,,,info@blockandco.com,blockandco.com,Kansas City,MO,developer,info@blockandco.com published on company press release page,https://www.blockandco.com/kc/news/display=257
4,public,Bontrager Builders Group,,,office@bontragerbuildersgroup.com,bontragerbuildersgroup.com,Pensacola,FL,luxury_builder,"office@bontragerbuildersgroup.com — One of Northwest Florida premier luxury custom homebuilders since 1994; residential, commercial, and luxury remodeling (source: https://bontragerbuildersgroup.com/news/page/3/)",https://bontragerbuildersgroup.com/news/page/3/
5,public,Bora Architecture & Interiors,,,info@bora.co,bora.co,Portland,OR,architect,info@bora.co listed on official company page: https://bora.co/contact/,https://bora.co/contact/
6,public,Breitner Architecture,,,info@breitarch.com,breitarch.com,Fort Lauderdale,FL,architect,Healthcare architecture firm led by Daniel Breitner AIA; info@breitarch.com published on its own site,https://breitarch.com/
1,public,Brick Tech Contracting Corp,,,bricktechnyc@gmail.com,bricktechnyc.com,Brooklyn,NY,gc,"bricktechnyc@gmail.com — GC & masonry/exterior contractor; all five boroughs, FISP/local-law-11 facade restoration (source: https://bricktechnyc.com/general-contractor-brooklyn-ny/)",https://bricktechnyc.com/general-contractor-brooklyn-ny/
2,public,Brije Homes,,,wendy@brije.com,brije.com,Ocala,FL,luxury_builder,wendy@brije.com — 2025 Marion County Builder of the Year; first builder to break ground at IronCrest (Ocala) (source: https://featured.brije.com/),https://featured.brije.com/
3,public,Building Studio Architects,,,office@buildingstudio.com,buildingstudio.com,New York,NY,architect,"office@buildingstudio.com — Manhattan architecture/interiors firm; 494 8th Ave, contact published on firm site (source: https://www.buildingstudio.com/contact)",https://www.buildingstudio.com/contact
4,public,Butler Armsden,,,info@butlerarmsden.com,butlerarmsden.com,San Francisco,CA,architect,info@butlerarmsden.com listed on official company page: https://images.butlerarmsden.com/pages/Studio-Careers/2025DEI_Report.pdf,https://images.butlerarmsden.com/pages/Studio-Careers/2025DEI_Report.pdf
5,public,Byrd Design and Build,,,info@byrddb.com,byrddb.com,Cockeysville,MD,luxury_builder,Premier custom home builder serving DE/MD/DC; luxurious custom homes; own site publishes info@byrddb.com,https://www.byrddb.com/custom-home-builder-delaware/
6,public,C&C Custom Builders,,,info@candccustombuilders.com,candccustombuilders.com,Green Bay,WI,luxury_builder,info@candccustombuilders.com listed on official company page: https://www.cnc.homes/,https://www.cnc.homes/
1,public,C.N. Carley Associates,,,design@cncarley.com,cncarley.com,Concord,NH,architect,Lists design@cncarley.com on website,http://www.cncarley.com/Ask%20the%20A.htm
2,public,CCC - Commercial Contracting,,,info@cccnetwork.com,cccnetwork.com,Detroit,MI,gc,info@cccnetwork.com — Commercial general contractor with Detroit office (source: https://www.cccnetwork.com/contact/),https://www.cccnetwork.com/contact/
3,public,CDH Partners,,,hello@cdhpartners.com,cdhpartners.com,Atlanta,GA,architect,"hello@cdhpartners.com published on company contact page; woman-owned architecture + interior design firm (est. 1977), Atlanta + Savannah offices; CEO Melissa Cantrell",http://cdhpartners.com/contact/
4,public,CIDA Inc,,,info@cidainc.com,cidainc.com,Portland,OR,architect,info@cidainc.com listed on official company page: https://cidainc.com/portlands-best-architecture-firms/,https://cidainc.com/portlands-best-architecture-firms/
5,public,CM Company,,,info@cmcompany.com,cmcompany.com,Boise,ID,gc,info@cmcompany.com listed on official company page: https://cmcompany.com/contact-cm-company/,https://cmcompany.com/contact-cm-company/
6,public,CM Ragusa Builders,,,info@cmragusa.com,cmragusa.com,Seabrook,NH,luxury_builder,info@cmragusa.com — Company website footer publishes general email (source: https://cmragusa.com),https://cmragusa.com
1,public,CNY Group,,,connect@cnygroup.com,cnygroup.com,Manhattan,NY,gc,connect@cnygroup.com published on cnygroup.com homepage,http://cnygroup.com/
2,public,CRV Homes,,,sales@crvhomes.com,crvhomes.com,Houston,TX,luxury_builder,sales@crvhomes.com — Houston custom build-on-your-lot builder; sales email on own site (source: https://www.crvhomes.com),https://www.crvhomes.com
3,public,Cabrillo Economic Development Corporation,,,info@cabrilloedc.org,cabrilloedc.org,Ventura,CA,developer,"info@cabrilloedc.org — Camino De Salud: 49 units of supportive affordable housing in Ojai Valley; financing closed, construction began March 2026 (source: https://www.cabrilloedc.org/careers/)",https://www.cabrilloedc.org/careers/
4,public,"Cain Development, LLC",,,info@caindevelopment.org,caindevelopment.org,Ooltewah,TN,luxury_builder,info@caindevelopment.org published on company homepage,https://www.caindevelopment.org/
5,public,Capano Management,,,leasing@capanoinc.com,capanomanagement.com,Wilmington,DE,developer,Company property flyers publish leasing@capanoinc.com as general inbox,https://www.capanomanagement.com/wp-content/uploads/2017/12/6684_Brandywine_Capano_2sided_converted.pdf
6,public,"Cape Dreams Building & Design, LLC",,,info@capedreamsbd.com,capedreamsbd.com,Brewster,MA,luxury_builder,info@capedreamsbd.com — Company website footer publishes general email (source: https://capedreamsbd.com),https://capedreamsbd.com
1,public,Cardel Development,,,Info@CardelDevelopment.com,cardeldevelopment.com,Bridgehampton,NY,luxury_builder,Info@CardelDevelopment.com — Luxury home builder in the Hamptons; new construction and renovation services (source: https://www.cardeldevelopment.com/contact),https://www.cardeldevelopment.com/contact
2,public,Carleton Hart Architecture,,,info@carletonhart.com,carletonhart.com,Portland,OR,architect,"info@carletonhart.com — Portland community-centered architecture firm founded 1994; affordable housing, shelters, historic, institutional; Plambeck Gardens Tualatin (source: https://www.carletonhart.com/accessibility-statement)",https://www.carletonhart.com/accessibility-statement
3,public,Carlton Edwards,,,info@carlton-edwards.com,carlton-edwards.com,Nashville,TN,architect,info@carlton-edwards.com shown on firm's own Nashville studio page (luxury custom residential architecture & interiors),https://carlton-edwards.com/nashville/
4,public,Carroll Construction,,,Office@besthomeinthesouth.com,besthomeinthesouth.com,Baton Rouge,LA,luxury_builder,"Office@besthomeinthesouth.com — Design-build custom homes, Baton Rouge/East Feliciana (source: https://besthomeinthesouth.com/contact/)",https://besthomeinthesouth.com/contact/
5,public,Castle Builders,,,info@castlebldrs.com,castlebldrs.com,Schaumburg,IL,luxury_builder,"info@castlebldrs.com — Available Homes page lists 1492 Willow Rd, Schaumburg as AVAILABLE (source: http://castlebldrs.com/contact/)",http://castlebldrs.com/contact/
6,public,Cauldwell Wingate,,,Sales@cwingate.com,cauldwellwingate.com,New York,NY,gc,Lists Sales@cwingate.com on contact page,https://www.cauldwellwingate.com/contact
1,public,Centric Architecture,,,info@centricarchitecture.com,centricarchitecture.com,Nashville,TN,architect,"info@centricarchitecture.com — Published info@ inbox on company site; 65-year Nashville firm, adaptive reuse/multifamily (source: https://www.centricarchitecture.com/news/hiring-project-architect)",https://www.centricarchitecture.com/news/hiring-project-architect
2,public,Chambless King Architects,,,info@chamblessking.com,chamblessking.com,Montgomery,AL,architect,info@chamblessking.com — Firm publishes general-inquiries email on own site; Montgomery + Birmingham offices (source: http://www.chamblessking.com/office),http://www.chamblessking.com/office
4,public,Chris Gorman Homes,,,chris@chrisgormanhomes.com,chrisgormanhomes.com,Cincinnati,OH,luxury_builder,chris@chrisgormanhomes.com — Custom home builder serving Cincinnati luxury neighborhoods (source: http://chrisgormanhomes.com/home-builders-in-ohio/),http://chrisgormanhomes.com/home-builders-in-ohio/
6,public,Clifton Development Group,,,info@cliftondevelopmentgroup.com,cliftondevelopmentgroup.com,Albany,NY,gc,info@cliftondevelopmentgroup.com — Licensed insured GC serving the Capital Region since 2010; 500+ projects completed; office fit-outs and additions (source: https://cliftondevelopmentgroup.com/general-contractor-albany-ny/),https://cliftondevelopmentgroup.com/general-contractor-albany-ny/
2,public,Coconut Bay Construction,Matt Krupka,President,office@coconutbayconstruction.com,coconutbayconstruction.com,Cape Coral,FL,luxury_builder,office@coconutbayconstruction.com — Cape Coral custom home builder since 2005; boutique custom-home building process for waterfront and luxury homes (source: https://www.coconutbayconstruction.com/cape-coral-custom-home-builder/),https://www.coconutbayconstruction.com/cape-coral-custom-home-builder/
3,public,Colarelli Construction,,,info@colarelliconstruction.com,colarelliconstruction.com,Colorado Springs,CO,gc,info@colarelliconstruction.com — Colorado Springs GC since 2003; active affordable housing work incl. Sumner House (95 units at 30-60% AMI) and Wendy's Village; 72 projects over past 3 years (source: https://www.colarelliconstruction.com/wp-content/uploads/Subcontractor-Pre-Qualification-Form-2024-For-Subs.pdf),https://www.colarelliconstruction.com/wp-content/uploads/Subcontractor-Pre-Qualification-Form-2024-For-Subs.pdf
4,public,Colas Construction,,,info@colasconstruction.com,colasconstruction.com,Portland,OR,gc,info@colasconstruction.com — Portland GC founded 1997 by Hermann Colas Jr.; Oregon's Most Admired Cos 2018-2021; 206-unit 3000 SE Powell apartments bid activity (source: https://colasconstruction.com/contact/),https://colasconstruction.com/contact/
5,public,Colombo Construction Company,,,info@colomboconstruction.com,colomboconstruction.com,Bakersfield,CA,gc,General contractor in Bakersfield; Email: info@colomboconstruction.com published on company contact page,https://www.colomboconstruction.com/contact-us-bakersfield/
6,public,Commonwealth Contractors,,,office@commonwealthcontracts.com,commonwealthcontracts.com,Charlottesville,VA,gc,"Charlottesville GC for additions, major renovations, historic preservation; own site publishes office@commonwealthcontracts.com",https://www.commonwealthcontracts.com/about-us
1,public,Construction Management & Consulting Group LLC,,,info@cmcg.llc,cmcg.llc,Bakersfield,CA,gc,"info@cmcg.llc — Bakersfield GC: premium outdoor living, remodels, pool design/build; CSLB #1141506; email on company site (source: https://cmcg.llc)",https://cmcg.llc
2,public,Constructive Solutions,,,info@solutionsgc.com,solutionsgc.com,San Francisco,CA,gc,"Commercial GC; info@solutionsgc.com published in its site footer (351 California St, SF)",https://www.solutionsgc.com
3,public,Cook Bonner Ebeling Construction,,,info@cookbonner.com,cookbonner.com,Mount Pleasant,SC,luxury_builder,info@cookbonner.com — Custom residential luxury construction and design/build in greater Charleston; general inbox published on company contact page (source: https://cookbonner.com/contact-us),https://cookbonner.com/contact-us
4,public,Corrado Construction Company,,,info@corradoconstruction.com,corradoconstruction.com,New Castle,DE,gc,info@corradoconstruction.com listed on official company page: https://corradoconstruction.com/contact/,https://corradoconstruction.com/contact/
5,public,Costa Homebuilders,,,info@costahomebuilders.com,costahomebuilders.com,Pittsburgh,PA,luxury_builder,info@costahomebuilders.com published on firm’s own contact page,https://www.costahomebuilders.com/contact-us/
1,public,Crane Builders LLC,,,sales@cranebuildersms.com,msgulfcoastbuilders.com,Waveland,MS,luxury_builder,sales@cranebuildersms.com — Gulf Coast builder; documented new-build and renovation process (source: https://msgulfcoastbuilders.com/wp-content/uploads/2022/08/Working-With-Crane-Builders-LLC.pdf),https://msgulfcoastbuilders.com/wp-content/uploads/2022/08/Working-With-Crane-Builders-LLC.pdf
2,public,Crestwood Custom Homes,,,info@CrestwoodKC.com,crestwoodkc.com,Kansas City,KS,luxury_builder,KC-metro custom home builder; info@CrestwoodKC.com published on company site,https://crestwoodkc.com/catalina/
5,public,DAC Developments,,,info@dacdevelopments.com,dacdevelopments.com,Chicago,IL,developer,info@dacdevelopments.com listed on official company page: https://dacdevelopments.com/,https://dacdevelopments.com/
6,public,DAHLIN,,,sandiego@dahlingroup.com,dahlingroup.com,San Diego,CA,architect,"sandiego@dahlingroup.com — 180+ person architecture/planning/interiors practice; San Diego office at 501 W Broadway; homebuilding, multifamily and mixed-use sectors; office inbox visibly published on company contact page (source: https://www.DahlinGroup.com/contact/san-diego)",https://www.DahlinGroup.com/contact/san-diego
1,public,DAS Architects,,,vketcham@dasarchitects.com,dasarchitects.com,Philadelphia,PA,architect,vketcham@dasarchitects.com — vketcham@ published on own contact page with Philadelphia address (source: https://dasarchitects.com/contact-das/),https://dasarchitects.com/contact-das/
2,public,DES Home Renovations,,,Info@Deshomerenovations.com,deshomerenovations.com,Hamilton,NJ,luxury_builder,Info@Deshomerenovations.com — General email published on company website contact page (source: https://www.deshomerenovations.com/contact/),https://www.deshomerenovations.com/contact/
3,public,DFW CAD Services,,,info@dfwcad.com,dfwcad.com,Mansfield,TX,gc,"info@dfwcad.com published in homepage CONTACT section; Mansfield design-build general contractor, est. 2006",http://www.dfwcad.com/
4,public,Dabar Home Builders,,,info@dabarhomebuilders.com,dabarhomebuilders.com,Millsboro,DE,luxury_builder,Locally owned custom builder in Millsboro DE; 2-3 homes/yr in Sussex & Kent Counties; own site publishes info@dabarhomebuilders.com under 'Email Us',https://dabarhomebuilders.com/
6,public,Dan Roth Custom Homes,,,dan@danrothcustomhomes.com,danrothcustomhomes.com,Sugar Land,TX,luxury_builder,dan@danrothcustomhomes.com — Sugar Land luxury custom home builder; general email on own contact page (source: https://www.danrothcustomhomes.com/contact/),https://www.danrothcustomhomes.com/contact/
1,public,Daniel Builders,,,info@danielbuilders.com,danielbuilders.com,Anderson,SC,gc,info@danielbuilders.com published on company get-started page,https://www.danielbuilders.com/get-started
2,public,Davidon Homes,,,Sales@DavidonHomes.com,davidson.com,Walnut Creek,CA,luxury_builder,Sales@DavidonHomes.com listed on official company page: https://davidson.com/contact/,https://davidson.com/contact/
3,public,Dawn Christine Architect,,,engage@dawnchristine.net,dawnchristine.net,West Palm Beach,FL,architect,engage@dawnchristine.net — West Palm Beach residential and commercial architect with 25+ years experience; engage@ published on own site (source: https://www.dawnchristine.net/architect-west-palm-beach-fl),https://www.dawnchristine.net/architect-west-palm-beach-fl
4,public,DeltaMax General Contractor,,,info@deltamaxgc.com,deltamaxgc.com,Pensacola,FL,gc,info@deltamaxgc.com — Residential and commercial GC across the Florida Panhandle (source: https://deltamaxgc.com/florida-home-builder/),https://deltamaxgc.com/florida-home-builder/
6,public,Design Tech Homes,,,info@dth.com,dth.com,The Woodlands,TX,luxury_builder,info@dth.com — Custom home builder; general email published on own site privacy/contact page (source: https://www.dth.com/about/),https://www.dth.com/about/
1,public,DesignBlendz,,,info@designblendz.com,designblendz.com,Philadelphia,PA,architect,info@designblendz.com — info@ published on company website (source: https://www.designblendz.com/blog/7-reliable-architects-in-philadelphia),https://www.designblendz.com/blog/7-reliable-architects-in-philadelphia
3,public,Dimension IV Madison Design Group,,,info@dimensionivmadison.com,dimensionivmadison.com,Madison,WI,architect,info@dimensionivmadison.com — 25-person firm incl. 8 licensed architects; Badger Rock Center architect of record (source: https://www.dimensionivmadison.com/contact/),https://www.dimensionivmadison.com/contact/
4,public,Dimit Architects,,,contact@dimitarchitects.com,dimitarchitects.com,Cleveland,OH,architect,contact@dimitarchitects.com — Cleveland architecture studio in Ohio City Lakewood area (source: https://www.dimitarchitects.com/contact/),https://www.dimitarchitects.com/contact/
5,public,Dominion Custom Homes,,,info@dominioncustomhomes.com,dominioncustomhomes.com,Charlottesville,VA,luxury_builder,Charlottesville area's premier custom home builder; energy-efficient custom homes; own site footer publishes info@dominioncustomhomes.com,http://www.dominioncustomhomes.com/
6,public,Dondlinger Construction,,,info@dondlinger.build,dondlinger.build,Wichita,KS,gc,info@dondlinger.build published on company case-study page,https://dondlinger.build/case-study/the-epic-center/
2,public,Dwell Development,,,info@dwelldevelopment.com,dwelldevelopment.com,Seattle,WA,luxury_builder,Award-winning green home builder (Seattle); general inbox info@dwelldevelopment.com published on company Projects page,https://www.dwelldevelopment.com/all-projects/current-projects/
3,public,Dwyer Architectural,,,info@dwyerarch.com,dwyerarch.com,Syracuse,NY,architect,info@dwyerarch.com — info@ published on own contact page with Syracuse address (source: https://dwyerarch.com/contact/),https://dwyerarch.com/contact/
5,public,"E.J. Jaxtimer Builder, Inc.",,,info@jaxtimer.com,jaxtimer.com,Hyannis,MA,luxury_builder,info@jaxtimer.com — Company website footer publishes general email (source: https://jaxtimer.com),https://jaxtimer.com
